country,date,cases,deaths,new_cases,new_deaths,last_update
Togo,2020-04-21,86,6,63,6,2020-07-01T21:43:55Z
Tunisia,2020-04-21,884,38,798,32,2020-07-01T21:43:55Z
Turkey,2020-04-21,95591,2259,94707,2221,2020-07-01T21:43:55Z
Uganda,2020-04-21,61,0,-95530,-2259,2020-07-01T21:43:55Z
Ukraine,2020-04-21,6125,161,6064,161,2020-07-01T21:43:55Z
Uruguay,2020-04-21,543,12,-5582,-149,2020-07-01T21:43:55Z
Uzbekistan,2020-04-21,1678,6,1135,-6,2020-07-01T21:43:55Z
Venezuela,2020-04-21,285,10,-1393,4,2020-07-01T21:43:55Z
Vietnam,2020-04-21,268,0,-17,-10,2020-07-01T21:43:55Z
Yemen,2020-04-21,1,0,-267,0,2020-07-01T21:43:55Z
Zambia,2020-04-21,70,3,69,3,2020-07-01T21:43:55Z
Zimbabwe,2020-04-21,28,3,-42,0,2020-07-01T21:43:55Z
Afghanistan,2020-04-22,1176,40,1148,37,2020-07-01T21:43:55Z
Albania,2020-04-22,634,27,-542,-13,2020-07-01T21:43:55Z
Algeria,2020-04-22,2910,402,2276,375,2020-07-01T21:43:55Z
Andorra,2020-04-22,723,37,-2187,-365,2020-07-01T21:43:55Z
Angola,2020-04-22,25,2,-698,-35,2020-07-01T21:43:55Z
Argentina,2020-04-22,3144,152,3119,150,2020-07-01T21:43:55Z
Armenia,2020-04-22,1473,24,-1671,-128,2020-07-01T21:43:55Z
Australia,2020-04-22,6652,67,5179,43,2020-07-01T21:43:55Z
Austria,2020-04-22,14925,510,8273,443,2020-07-01T21:43:55Z
Azerbaijan,2020-04-22,1518,20,-13407,-490,2020-07-01T21:43:55Z
Bahamas,2020-04-22,65,9,-1453,-11,2020-07-01T21:43:55Z
Bahrain,2020-04-22,2027,7,1962,-2,2020-07-01T21:43:55Z
Bangladesh,2020-04-22,3772,120,1745,113,2020-07-01T21:43:55Z
Barbados,2020-04-22,75,5,-3697,-115,2020-07-01T21:43:55Z
Belarus,2020-04-22,7281,58,7206,53,2020-07-01T21:43:55Z
Belgium,2020-04-22,41889,6262,34608,6204,2020-07-01T21:43:55Z
Belize,2020-04-22,18,2,-41871,-6260,2020-07-01T21:43:55Z
Benin,2020-04-22,54,1,36,-1,2020-07-01T21:43:55Z
Bhutan,2020-04-22,6,0,-48,-1,2020-07-01T21:43:55Z
Bolivia,2020-04-22,609,37,603,37,2020-07-01T21:43:55Z
Botswana,2020-04-22,22,1,-587,-36,2020-07-01T21:43:55Z
Brazil,2020-04-22,45757,2906,45735,2905,2020-07-01T21:43:55Z
Brunei,2020-04-22,138,1,-45619,-2905,2020-07-01T21:43:55Z
Bulgaria,2020-04-22,1024,49,886,48,2020-07-01T21:43:55Z
Burma,2020-04-22,123,5,-901,-44,2020-07-01T21:43:55Z
Burundi,2020-04-22,11,1,-112,-4,2020-07-01T21:43:55Z
Cambodia,2020-04-22,122,0,111,-1,2020-07-01T21:43:55Z
Cameroon,2020-04-22,1163,43,1041,43,2020-07-01T21:43:55Z
Canada,2020-04-22,41663,2078,40500,2035,2020-07-01T21:43:55Z
Chad,2020-04-22,33,0,-41630,-2078,2020-07-01T21:43:55Z
Chile,2020-04-22,11296,160,11263,160,2020-07-01T21:43:55Z
China,2020-04-22,83868,4636,72572,4476,2020-07-01T21:43:55Z
Colombia,2020-04-22,4356,206,-79512,-4430,2020-07-01T21:43:55Z
Comoros,2020-04-22,0,0,-4356,-206,2020-07-01T21:43:55Z
Croatia,2020-04-22,1950,48,1950,48,2020-07-01T21:43:55Z
Cuba,2020-04-22,1189,40,-761,-8,2020-07-01T21:43:55Z
Cyprus,2020-04-22,790,13,-399,-27,2020-07-01T21:43:55Z
Czechia,2020-04-22,7132,208,6342,195,2020-07-01T21:43:55Z
Denmark,2020-04-22,8108,384,976,176,2020-07-01T21:43:55Z
Djibouti,2020-04-22,974,2,-7134,-382,2020-07-01T21:43:55Z
Dominica,2020-04-22,16,0,-958,-2,2020-07-01T21:43:55Z
Ecuador,2020-04-22,10850,537,10834,537,2020-07-01T21:43:55Z
Egypt,2020-04-22,3659,276,-7191,-261,2020-07-01T21:43:55Z
Eritrea,2020-04-22,39,0,-3620,-276,2020-07-01T21:43:55Z
Estonia,2020-04-22,1559,44,1520,44,2020-07-01T21:43:55Z
Ethiopia,2020-04-22,116,3,-1443,-41,2020-07-01T21:43:55Z
Fiji,2020-04-22,18,0,-98,-3,2020-07-01T21:43:55Z
Finland,2020-04-22,4129,149,4111,149,2020-07-01T21:43:55Z
France,2020-04-22,155980,21342,151851,21193,2020-07-01T21:43:55Z
Gabon,2020-04-22,166,1,-155814,-21341,2020-07-01T21:43:55Z
Gambia,2020-04-22,10,1,-156,0,2020-07-01T21:43:55Z
Georgia,2020-04-22,416,5,406,4,2020-07-01T21:43:55Z
Germany,2020-04-22,150648,5279,150232,5274,2020-07-01T21:43:55Z
Ghana,2020-04-22,1154,9,-149494,-5270,2020-07-01T21:43:55Z
